csat_id,ticket_id,assignee_id,score_raw,score,comentario,avaliado_em,ano_mes,semana_iso,promotor,detrator,group_id,nome_grupo,time
52035601814035,61907,51393694500371.0,offered,,,2026-05-26 13:57:38+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52035546085011,61978,50775753383827.0,offered,,,2026-05-26 13:56:07+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52035266631315,62012,50102757263251.0,offered,,,2026-05-26 13:47:54+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52035155725587,62013,50102757263251.0,offered,,,2026-05-26 13:45:35+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52035075817363,62019,50102757263251.0,good,5.0,,2026-05-26 13:42:58+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52035013269651,62019,50102757263251.0,offered,,,2026-05-26 13:41:45+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52035008830099,61982,50102757263251.0,offered,,,2026-05-26 13:41:03+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52034999046803,62015,50102757263251.0,offered,,,2026-05-26 13:41:03+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52035008180115,62008,50102757263251.0,good,5.0,,2026-05-26 13:40:57+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52035022196627,62016,50102757263251.0,offered,,,2026-05-26 13:40:46+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52034945536147,62008,50102757263251.0,offered,,,2026-05-26 13:40:46+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52034958407571,61981,50102757263251.0,good,5.0,,2026-05-26 13:39:50+00:00,2026-05,2026-W22,True,False,42056691282323,Blis Resolve,Blis Resolve
52034939605651,61981,50102757263251.0,offered,,,2026-05-26 13:39:40+00:00,2026-05,2026-W22,False,False,42056691282323,Blis Resolve,Blis Resolve
52034794404371,62000,50102757263251.0,offered,,,2026-05-26 13:35:35+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52034663500819,61995,50102757263251.0,offered,,,2026-05-26 13:30:43+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52034569153043,61988,51393694500371.0,good,5.0,,2026-05-26 13:28:25+00:00,2026-05,2026-W22,True,False,43771604769299,Blis Saúde,Blis Saúde
52034441918099,61986,50102757263251.0,offered,,,2026-05-26 13:25:36+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52034447797651,61934,51393694500371.0,bad,1.0,A atendente foi esucada. Mas a plataforma contém informações inverídicas e propaganda enganosa.,2026-05-26 13:24:41+00:00,2026-05,2026-W22,False,True,43771604769299,Blis Saúde,Blis Saúde
52034429009555,61988,51393694500371.0,offered,,,2026-05-26 13:24:15+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52034366956051,61934,51393694500371.0,offered,,,2026-05-26 13:22:53+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52034274908563,62009,50102757263251.0,offered,,,2026-05-26 13:20:56+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52034151328659,62006,50102757263251.0,offered,,,2026-05-26 13:16:11+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52033906043923,62005,50102757263251.0,good,5.0,,2026-05-26 13:09:33+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52033764396435,62005,50102757263251.0,offered,,,2026-05-26 13:05:14+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52033642918035,61991,50102757263251.0,good,5.0,,2026-05-26 13:02:10+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52033619880595,61991,50102757263251.0,offered,,,2026-05-26 13:01:38+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52033580690067,61984,50102757263251.0,offered,,,2026-05-26 13:00:40+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52033179244307,61937,51393694500371.0,offered,,,2026-05-26 12:45:47+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52033171690259,61985,51393694500371.0,offered,,,2026-05-26 12:45:15+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52032699734035,61962,51393694500371.0,offered,,,2026-05-26 12:28:21+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52032181716371,61970,51393694500371.0,offered,,,2026-05-26 12:09:03+00:00,2026-05,2026-W22,False,False,43771604769299,Blis Saúde,Blis Saúde
52031949262227,61975,50102757263251.0,offered,,,2026-05-26 12:01:54+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52031914058131,61966,50102757263251.0,offered,,,2026-05-26 12:00:30+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52031899580563,61974,50102757263251.0,offered,,,2026-05-26 12:00:14+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52031903176339,61959,50102757263251.0,good,5.0,"O atendimento é bom ! Só não gostei que eles ficam falando que vai bloquear caso não compre logo , só que tenho muitas dúvidas em relação ao produto que não é barato fora o frete que é caro ",2026-05-26 11:58:55+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52031861852691,61965,50102757263251.0,good,5.0,Pagar consulta duas vezes pra só mudar a medicação isso não existe não . Só essa insatisfação ainda onlaine . ,2026-05-26 11:57:39+00:00,2026-05,2026-W22,True,False,50304023554451,IA,IA
52031837493779,61965,50102757263251.0,offered,,,2026-05-26 11:55:25+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
52031726013203,61972,50102757263251.0,offered,,,2026-05-26 11:51:53+00:00,2026-05,2026-W22,False,False,50304023554451,IA,IA
